Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1,0		NEPRAVDA	NEPRAVDA	XObject					
Subtype	name	1,0		PRAVDA	NEPRAVDA	Image					
Width	integer	1,0		PRAVDA	NEPRAVDA						
Height	integer	1,0		PRAVDA	NEPRAVDA						
ColorSpace	array;name	1,0		PRAVDA	NEPRAVDA					[];[]	
BitsPerComponent	integer	1,0		PRAVDA	NEPRAVDA						
Intent	name	1,1		NEPRAVDA	NEPRAVDA						
ImageMask	boolean	1,0		NEPRAVDA	NEPRAVDA		NEPRAVDA				
Mask	array;stream	1,3		NEPRAVDA	NEPRAVDA					[];[XObjectImageMask]	
Decode	array	1,0		NEPRAVDA	NEPRAVDA					[]	
Interpolate	boolean	1,0		NEPRAVDA	NEPRAVDA		NEPRAVDA				
Alternates	array	1,3		NEPRAVDA	NEPRAVDA					[ArrayOfImageAlternates]	
SMask	stream	1,4		NEPRAVDA	NEPRAVDA					[XObjectImageSoftMask]	
SMaskInData	integer	1,5		NEPRAVDA	NEPRAVDA						
Name	name	1,0	2,0	NEPRAVDA	NEPRAVDA						
StructParent	integer	1,3		NEPRAVDA	NEPRAVDA				IsRequired=>ImageIsStructuralContentItem		
ID	string	1,3		NEPRAVDA	NEPRAVDA						
OPI	dictionary	1,2	2,0	NEPRAVDA	NEPRAVDA					[OPIVersion]	
Metadata	stream	1,4		NEPRAVDA	NEPRAVDA					[Metadata]	
OC	dictionary	1,5		NEPRAVDA	NEPRAVDA					[OptContentGroup,OptContentMembership]	*
AF	array;dictionary	2,0		NEPRAVDA	NEPRAVDA					[];[FileSpecification]	*
Measure	dictionary	2,0		NEPRAVDA	NEPRAVDA					[Measure]	
PtData	dictionary	2,0		NEPRAVDA	NEPRAVDA					[PointData]	
Image	integer	1,0		PRAVDA	NEPRAVDA						
