Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		FALSE	FALSE			[XObject]			
Subtype	name	1.0		TRUE	FALSE			[Image]			
Width	integer	1.0		TRUE	FALSE						
Height	integer	1.0		TRUE	FALSE						
ColorSpace	array;name	1.0		TRUE	FALSE			[];[DeviceRGB,DeviceGray]		[IndexedColorSpace];[]	Only DeviceGray or DeviceRGB, or an Indexed
BitsPerComponent	integer	1.0		TRUE	FALSE						
Decode	array	1.0		FALSE	FALSE					[]	
Length	integer	1.3		TRUE	FALSE						* from stream
Filter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.3		FALSE	FALSE					[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
